sample_idx,wav_file,participant_id,word,true_label,pred_label,correct,prob_class0,prob_class1,speech_onset_s,duration_s,rollout_peak_time_s,rollout_pre_speech_frac,rollout_post_speech_frac,noise_leakage_delta,occlusion_peak_time_s
1,ReXa_008_02_do.wav,ReXa_008,do,0,1,False,0.15767844021320343,0.8423215746879578,0.04,4.26,0.9,0.03451372662973021,0.9654862263154377,0.003173590397693854,
2,ReXa_008_03_pet.wav,ReXa_008,pet,1,1,True,0.11898121982812881,0.8810187578201294,1.02,1.68,1.08,0.4154662282081262,0.5845337717437601,-0.061138905796434495,
3,ReXa_008_04_sit.wav,ReXa_008,sit,1,1,True,0.09122231602668762,0.9087777137756348,1.44,2.1,1.56,0.4887021205736542,0.5112978315814243,-0.1551720582083284,
4,ReXa_008_05_dime.wav,ReXa_008,dime,0,1,False,0.10796326398849487,0.8920367360115051,1.96,3.96,2.04,0.29831829025121404,0.7016816878169676,-0.03765167907832967,
5,ReXa_008_06_boots.wav,ReXa_008,boots,0,1,False,0.16145499050617218,0.838545024394989,1.34,3.96,1.44,0.27362059807081446,0.7263793235049648,-0.02084211009323761,
6,ReXa_008_07_see.wav,ReXa_008,see,1,0,False,0.8703579902648926,0.12964193522930145,1.04,3.96,1.28,0.2614088646577514,0.7385911352996947,-0.04124566597901638,
7,ReXa_008_08_pile.wav,ReXa_008,pile,0,1,False,0.4957716763019562,0.5042282938957214,0.9,3.96,1.02,0.24320287241502622,0.7567970508865091,0.028577659001637418,
8,ReXa_008_09_seven.wav,ReXa_008,seven,0,0,True,0.9791001677513123,0.020899811759591103,1.56,3.96,2.24,0.46865251111438205,0.5313474558200036,-0.1095403681685333,
9,ReXa_008_10_speed.wav,ReXa_008,speed,1,1,True,0.32241514325141907,0.6775848865509033,0.56,3.96,0.74,0.1522126121537269,0.8477873720933495,0.011167971016224326,
10,ReXa_008_11_system.wav,ReXa_008,system,0,0,True,0.9956216216087341,0.004378346260637045,1.26,3.96,1.24,0.2368531001155614,0.7631467931920292,0.02895748767911213,
11,ReXa_008_12_at.wav,ReXa_008,at,1,0,False,0.6970791220664978,0.302920937538147,0.76,3.96,0.76,0.38064201240202744,0.61935805207323,-0.1019288045207763,
12,ReXa_008_13_baseball.wav,ReXa_008,baseball,0,0,True,0.9887506365776062,0.011249295435845852,1.64,3.96,1.74,0.2733020522775426,0.7266978815423681,-0.022595778338875938,
13,ReXa_008_14_sun.wav,ReXa_008,sun,1,1,True,0.07260052114725113,0.9273994565010071,0.74,3.96,0.94,0.2125694570629892,0.7874305621339225,-0.06834664215575512,
14,ReXa_008_15_state.wav,ReXa_008,state,0,0,True,0.5839456915855408,0.41605430841445923,0.56,3.96,0.78,0.12884005840928603,0.8711600238498146,-0.007106451357127827,
15,ReXa_008_16_to.wav,ReXa_008,to,1,1,True,0.48482465744018555,0.5151753425598145,3.7,3.96,3.7,0.5900995931620526,0.40990044794017183,-0.0814667619875914,
16,ReXa_008_17_spoon.wav,ReXa_008,spoon,0,0,True,0.7660871148109436,0.2339128851890564,0.78,3.96,0.96,0.21360286807313422,0.7863970805073643,0.03707447939985742,
17,ReXa_008_18_cheek.wav,ReXa_008,cheek,0,0,True,0.8136897683143616,0.18631026148796082,1.5,3.96,1.5,0.2842365115985665,0.7157634883709626,-0.05226514331667215,
18,ReXa_008_19_in.wav,ReXa_008,in,0,1,False,0.04253353178501129,0.9574664831161499,1.22,3.96,1.28,0.23892130099018985,0.7610786989806945,0.009118048287756003,
19,ReXa_008_20_be.wav,ReXa_008,be,1,1,True,0.38737010955810547,0.6126299500465393,0.78,3.96,0.78,0.25801178518825907,0.7419882378163052,-0.02537719377618977,
20,ReXa_008_21_sometimes.wav,ReXa_008,sometimes,0,0,True,0.9905697107315063,0.00943029299378395,1.96,3.96,1.96,0.23315495471752518,0.7668450628075495,-0.005828324133849594,
21,ReXa_034_02_do.wav,ReXa_034,do,1,1,True,0.06092480197548866,0.9390751719474792,1.58,4.86,1.58,0.2793833203514681,0.72061667960079,0.019402285891456372,
22,ReXa_034_03_pet.wav,ReXa_034,pet,1,1,True,0.17730262875556946,0.8226973414421082,0.74,3.18,0.76,0.24413838544943878,0.7558617701347362,0.003186381663632082,
23,ReXa_034_04_sit.wav,ReXa_034,sit,1,1,True,0.13461360335350037,0.8653863668441772,0.74,3.18,0.76,0.27168555547050965,0.7283143218467523,-0.007221497296171664,
24,ReXa_034_05_dime.wav,ReXa_034,dime,0,0,True,0.7052138447761536,0.2947861850261688,2.84,3.96,2.84,0.5359601706578452,0.46403975637193656,-0.14221429005108055,
25,ReXa_034_06_boots.wav,ReXa_034,boots,0,0,True,0.9886602163314819,0.011339753866195679,0.1,3.96,2.58,0.059215843732182485,0.9407841773377152,-0.026395068901436093,
26,ReXa_034_07_see.wav,ReXa_034,see,0,0,True,0.9272608160972595,0.07273910194635391,1.1,3.96,3.54,0.17485715592171588,0.8251429291195412,-0.020459230437989445,
27,ReXa_034_08_midnight.wav,ReXa_034,midnight,0,0,True,0.7750309705734253,0.22496908903121948,0.46,3.96,0.48,0.12993339158937395,0.8700666083790756,0.034546852584431686,
28,ReXa_034_09_pile.wav,ReXa_034,pile,0,0,True,0.795021116733551,0.2049788385629654,0.84,3.96,0.86,0.24601271133637528,0.7539872886217018,0.003141067617120963,
29,ReXa_034_10_seven.wav,ReXa_034,seven,0,0,True,0.5251114964485168,0.47488853335380554,0.92,3.96,1.18,0.2988799355258699,0.7011200933426017,-0.07723398375185625,
30,ReXa_034_11_speed.wav,ReXa_034,speed,0,1,False,0.04497682303190231,0.9550231099128723,0.82,3.96,1.12,0.22174928567269178,0.7782506782446568,-0.016976732817621742,
31,ReXa_034_12_system.wav,ReXa_034,system,0,0,True,0.9799622297286987,0.020037714391946793,0.84,3.96,0.84,0.23330012468139855,0.7666997892705676,0.04024396106674133,
32,ReXa_034_13_at.wav,ReXa_034,at,1,0,False,0.7070914506912231,0.29290854930877686,0.42,3.96,0.76,0.1303613244742344,0.8696386999489043,0.03073645394713681,
33,ReXa_034_14_baseball.wav,ReXa_034,baseball,0,0,True,0.922646701335907,0.07735326141119003,0.82,3.96,0.82,0.2586581268690999,0.7413418234533823,-0.009539192821544529,
